Manufacturer,Model,Titel,Date,Type,Subtype,Group,Rated Power low T [kW],Rated Power medium T [kW],Refrigerant,Mass of Refrigerant [kg],SPL indoor low Power [dBA],SPL outdoor low Power [dBA],SPL indoor high Power [dBA],SPL outdoor high Power [dBA],Bivalence temperature [°C],Tolerance temperature [°C],Max. water heating temperature [°C],Power heating rod low T [kW],Power heating rod medium T [kW],Poff [W],PTOS [W],PSB [W],PCKS [W],eta low T [%],eta medium T [%],SCOP,SEER low T,SEER medium T,P_th_h_ref [W],P_th_c_ref [W],P_el_h_ref [W],P_el_c_ref [W],COP_ref,EER_c_ref,p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-],p1_P_el_c [1/°C],p2_P_el_c [1/°C],p3_P_el_c [-],p4_P_el_c [1/°C],p1_EER [-],p2_EER [-],p3_EER [-],p4_EER [-],MAPE P_th,MAPE P_el,MAPE COP,MAPE Pdc,MAPE P_el_c,MAPE EER
 Acond a.s.,Acond Aconomis N,Acond Aconomis N,08.07.2024,Outdoor Air/Water,Regulated,1.0,7.65,7.5,R290,"0,450 kg",0.0,0.0,0.0,54.0,-7.0,-10.0,75.0,1.53,1.47,15.0,15.0,15.0,0.0,187.0,150.0,4.75,,,6580,,2873,,2.29,,-43.12772747054501,0.0102814079314003,0.0712570775813438,43.07436724078105,0.7275923986463755,-0.0727164455094132,6.752011728451605,-0.5843449502219047,,,,,,,,,13.264636732100552,11.112412592875565,6.552139074595722,,,
 Acond a.s.,Acond Aconomis S,Acond Aconomis S,08.07.2024,Outdoor Air/Water,Regulated,1.0,4.0,4.0,R290,"0,290 kg",0.0,0.0,0.0,53.0,-7.0,-10.0,75.0,0.72,0.73,15.0,15.0,15.0,0.0,192.0,157.0,4.89,,,3540,,1573,,2.25,,497.0890304475512,0.0115490884108964,0.0034723449989932,-497.1424200455427,141.7849565497433,-0.0624645622839983,6.509705499223776,-141.6192386844151,,,,,,,,,13.35307791901187,11.885421980985832,5.921081937632369,,,
 Acond a.s.,Acond Grandis-L,Acond Grandis-L16,31.01.2024,Outdoor Air/Water,Regulated,1.0,15.5,16.0,R290,"2,600 kg",0.0,0.0,0.0,48.0,-10.0,-10.0,75.0,0.0,0.0,12.0,13.0,12.0,0.0,217.0,158.0,5.49,,,14490,,5750,,2.52,,-14.692190442033308,0.0140757987752702,-0.0788173299075704,14.644973756436691,-0.3512378862693737,-0.1066605300874223,8.579521474554,0.5614339111736086,,,,,,,,,14.109089263466917,7.289587950226883,12.571345682534169,,,
 Acond a.s.,Acond Grandis-L,Acond Grandis-L18,31.01.2024,Outdoor Air/Water,Regulated,1.0,18.8,18.0,R290,"2,600 kg",0.0,0.0,0.0,50.0,-10.0,-10.0,75.0,0.0,0.0,12.0,13.0,12.0,0.0,200.0,158.0,5.07,,,15920,,6394,,2.49,,486.61898290122815,0.0086780688912499,0.1649497877423557,-486.67147294851634,-142.48992635869212,-0.0905255064625562,7.847948711183029,142.72138740692026,,,,,,,,,28.62624239830239,21.77322386953346,14.423571215628566,,,
 Acond a.s.,Acond Grandis-L,Acond Grandis-L21,31.01.2024,Outdoor Air/Water,Regulated,1.0,21.0,22.0,R290,"2,600 kg",0.0,0.0,0.0,53.0,-7.0,-10.0,75.0,2.5,2.58,12.0,13.0,12.0,0.0,195.0,142.0,4.95,,,19420,,8670,,2.24,,-272.84732529865096,0.0126401047717176,-0.0095965837401711,272.79654520781264,-0.8851609937106019,-0.0971568068044531,7.889717471797612,1.136246063599937,,,,,,,,,42.11617618550544,31.044366203126582,17.378241402842484,,,
 Acond a.s.,Acond Grandis-N,Acond Grandis-N,07.12.2022,Outdoor Air/Water,Regulated,1.0,4.2,4.0,R290,"0,750 kg",0.0,0.0,0.0,46.0,-10.0,-10.0,75.0,0.0,0.0,15.0,15.0,15.0,0.0,212.0,159.0,5.38,,,3540,,1445,,2.45,,212.7663165831132,0.0121994499154225,-0.0044863079298453,-212.81584399161423,-142.51976077759718,-0.1045673554186634,8.423105061021392,142.69694527147013,,,,,,,,,12.152180942920442,7.407827802165133,9.656970900624318,,,
 Acond a.s.,Acond Grandis-R,Acond Grandis-R,07.12.2022,Outdoor Air/Water,Regulated,1.0,10.19,9.97,R290,"1,400 kg",0.0,0.0,0.0,48.0,-10.0,-10.0,75.0,0.0,0.0,15.0,14.0,15.0,0.0,220.0,165.0,5.58,,,8800,,3296,,2.67,,155.90132593139035,0.0113152771134849,0.0469673712294873,-155.95099654603814,212.85276064175144,-0.1075387568947006,8.662626632328449,-212.69232685433457,,,,,,,,,8.351668433856931,5.454838841976211,10.633878483208528,,,
 Acond a.s.,Acond Grandis-R,Acond Grandis-R SP,07.12.2022,Outdoor Air/Water,Regulated,1.0,10.19,9.97,R290,"1,400 kg",0.0,0.0,0.0,48.0,-10.0,-10.0,75.0,0.0,0.0,15.0,14.0,15.0,0.0,220.0,165.0,5.58,,,8800,,3296,,2.67,,155.90132593139035,0.0113152771134849,0.0469673712294873,-155.95099654603814,212.85276064175144,-0.1075387568947006,8.662626632328449,-212.69232685433457,,,,,,,,,8.351668433856931,5.454838841976211,10.633878483208528,,,
 Acond a.s.,Acond PRO-N,Acond PRO-N,17.03.2022,Outdoor Air/Water,Regulated,1.0,5.29,5.14,R290,"1,350 kg",,,0.0,48.0,-10.0,-22.0,70.0,0.0,0.0,16.0,16.0,16.0,0.0,164.0,135.0,4.18,,,4540,,2064,,2.2,,-71.55804146406061,0.0107086155038718,0.0758942348376784,71.50890372513264,80.58700896955737,-0.0524499090590043,5.534958034425514,-80.49650680007827,,,,,,,,,7.115389885825811,4.126135584444262,3.479832227163988,,,
 Acond a.s.,Acond PRO-R,Acond PRO-R,17.03.2022,Outdoor Air/Water,Regulated,1.0,10.38,10.17,R290,"2,750 kg",,,0.0,49.0,-10.0,-22.0,70.0,0.0,0.0,16.0,16.0,16.0,0.0,199.0,154.0,5.05,,,9000,,3600,,2.5,,-71.55978917363649,0.0104736389076088,0.0772733891073769,71.5072098433348,248.37571556229543,-0.0812104849000503,7.247027479755549,-248.23797742809475,,,,,,,,,9.870310928117602,5.93289134385183,7.070495404387855,,,
 Acond a.s.,Acond PRO-R,Acond PRO-R SP,17.03.2022,Outdoor Air/Water,Regulated,1.0,10.38,10.17,R290,"2,750 kg",,,0.0,49.0,-10.0,-22.0,70.0,0.0,0.0,16.0,16.0,16.0,0.0,199.0,154.0,5.05,,,9000,,3600,,2.5,,-71.55978917363649,0.0104736389076088,0.0772733891073769,71.5072098433348,248.37571556229543,-0.0812104849000503,7.247027479755549,-248.23797742809475,,,,,,,,,9.870310928117602,5.93289134385183,7.070495404387855,,,
